,,release_date,movie,production_budget,domestic_gross,year,month,title_year,title,studio,primary_name,primary_title,genres,movie_id,return,percent_return,bucket,scaled_value,bucket_low,bucket_high,bucket_mean
HighProducer,2227,2017-10-20,The Snowman,35000000,6670765,2017,10,The Snowman2017,The Snowman,Uni.,Tim Bevan,The Snowman,"Crime,Drama,Mystery",tt1758810,-28329235,0.19059328571428572,3,3.1176470588235294,31000000.0,65000000.0,11378705.229850747
HighProducer,2252,2017-06-28,Baby Driver,34000000,107825862,2017,6,Baby Driver2017,Baby Driver,TriS,Tim Bevan,Baby Driver,"Action,Crime,Drama",tt3890160,73825862,3.171348882352941,3,3.088235294117647,31000000.0,65000000.0,11378705.229850747
HighProducer,2288,2011-05-13,Bridesmaids,32500000,169211718,2011,5,Bridesmaids2011,Bridesmaids,Uni.,Judd Apatow,Bridesmaids,"Comedy,Romance",tt1478338,136711718,5.2065144,3,3.0441176470588234,31000000.0,65000000.0,11378705.229850747
HighProducer,2295,2012-02-24,Wanderlust,32500000,17288155,2012,2,Wanderlust2012,Wanderlust,Uni.,Judd Apatow,Wanderlust,"Comedy,Romance",tt1655460,-15211845,0.5319432307692308,3,3.0441176470588234,31000000.0,65000000.0,11378705.229850747
HighProducer,2302,2010-08-27,Takers,32000000,57744720,2010,8,Takers2010,Takers,SGem,Will Packer,Takers,"Action,Crime,Thriller",tt1135084,25744720,1.8045225,3,3.0294117647058822,31000000.0,65000000.0,11378705.229850747
HighProducer,2329,2010-03-19,Repo Men,32000000,13942007,2010,3,Repo Men2010,Repo Men,Uni.,Scott Stuber,Repo Men,"Action,Crime,Sci-Fi",tt1053424,-18057993,0.43568771875,3,3.0294117647058822,31000000.0,65000000.0,11378705.229850747
HighProducer,2347,2014-03-07,The Grand Budapest Hotel,31000000,59076019,2014,3,The Grand Budapest Hotel2014,The Grand Budapest Hotel,FoxS,Scott Rudin,The Grand Budapest Hotel,"Adventure,Comedy,Crime",tt2278388,28076019,1.9056780322580644,3,3.0,31000000.0,65000000.0,11378705.229850747
HighProducer,2496,2013-02-08,Side Effects,30000000,32172757,2013,2,Side Effects2013,,,Lorenzo di Bonaventura,Side Effects,"Crime,Drama,Mystery",tt2053463,2172757,1.0724252333333333,2,3.0,15500000.0,30000000.0,10323029.703812316
HighProducer,2503,2012-04-27,The Five-Year Engagement,30000000,28700285,2012,4,The Five-Year Engagement2012,The Five-Year Engagement,Uni.,Judd Apatow,The Five-Year Engagement,"Comedy,Romance",tt1195478,-1299715,0.9566761666666667,2,3.0,15500000.0,30000000.0,10323029.703812316
HighProducer,2531,2011-08-19,Fright Night,30000000,18298649,2011,8,Fright Night2011,,,Michael De Luca,Fright Night,"Comedy,Horror",tt1438176,-11701351,0.6099549666666667,2,3.0,15500000.0,30000000.0,10323029.703812316
